"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-01","   60","   80",,,,"0.00",,"0.0","1.0",,"39","12",,"   20",,,,,"12.1",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-02","   10","    0",,,,"0.00",,"0.0","0.0",,"39","15",,"   20",,,,,"12.1",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-03","    0","    0",,,,"0.00",,"0.0","0.0",,"41","18",,"  290",,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-04","   80","  100",,,,"0.00",,"0.0","0.0",,"47","14",,"  200",,,,,"17.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-05","   70","   90",,,,"0.00",,"0.0","0.0",,"35","13",,"   10",,,,,"23.0",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-06","    0","    0",,,,"0.00",,"0.0","0.0",,"33","8",,"  360",,,,,"14.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-07","   10","    0",,,,"0.00",,"0.0","0.0",,"41","7",,"  250",,,,,"15.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-08","   80","   80",,,,"0.00",,"0.0","0.0",,"33","12",,"  100",,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-09","   70","  100",,,,"0.00",,"0.0","0.0",,"34","8",,"  230",,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-10","   50","   30",,,,"0.00",,"0.0","0.0",,"64","29",,"  270",,,,,"30.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-11","   10","   10",,,,"0.00",,"0.0","0.0",,"60","30",,"  360",,,,,"19.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-12","   60","   90",,,,"0.00",,"0.0","0.0",,"58","20",,"  170",,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-13","   90","  100",,,,"0.00",,"0.0","0.0",,"50","20",,"  230",,,,,"10.1",,,,"    1","    1",,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-14","   20","   30",,,,"0.00",,"0.0","0.0",,"61","25",,"  290",,,,,"12.1",,,,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-15","   70","   80",,,,"0.00",,"0.0","0.0",,"58","23",,"  210",,,,,"15.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-16","   90","  100",,,,"0.00",,"0.0","0.0",,"43","31",,"  190",,,,,"16.1",,,,"    1","    1",,,,,,,,,,,,,"    1",,,,,
